District,Crop,Season,Soil_pH,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,Area_Hectares,Production_Tonnes,Recommended_Fertilizer,Fertilizer_Quantity_per_Hectare,Organic_Input,Organic_Quantity_per_Hectare,Expected_Yield_Increase_Percent
Ahmednagar,Wheat,Kharif,6.08,38,8,22,25.4,64.2,618,1103,8834,Ammonium Sulphate,132,Vermicompost,1565,11.7
Pune,Cotton(lint),Summer,7.42,21,28,34,13.6,53.3,876,365,3616,Potash,70,Compost,1260,12.3
Ahmednagar,Soyabean,Rabi,6.3,14,28,22,27.4,83.9,1182,4882,3965,Potash,82,Cow Dung,1818,20.7
Nashik,Cotton(lint),Summer,5.97,11,18,14,28.0,71.1,857,2261,12840,12-32-16,182,Cow Dung,1269,16.0
Sangli,Sugarcane,Rabi,6.94,28,18,23,21.9,67.2,421,369,4599,NPK,75,Compost,1860,24.1
Ahmednagar,Cotton(lint),Kharif,6.28,16,18,20,17.3,66.7,1089,4577,9310,12-32-16,157,Compost,500,12.2
Sangli,Grapes,Summer,7.63,16,29,34,23.3,48.7,959,2765,7333,Single Super Phosphate,138,FYM,608,21.6
Satara,Sugarcane,Summer,7.65,19,18,35,25.2,71.7,1028,683,9720,Calcium Nitrate,141,FYM,1427,19.8
Kolhapur,Grapes,Kharif,5.48,26,26,23,25.6,60.0,728,1755,13270,Ferrous Sulphate,82,Compost,1648,22.8
Satara,Pomegranate,Kharif,6.34,35,24,34,18.1,75.4,1090,4870,6047,20-20-0,67,Cow Dung,1587,24.1
Ahmednagar,Pomegranate,Rabi,5.83,23,22,16,26.8,72.7,879,722,674,17-17-17,67,FYM,705,5.2
Satara,Cotton(lint),Kharif,6.63,36,19,33,30.1,64.3,1184,2329,1558,12-32-16,82,FYM,1938,6.8
Solapur,Sugarcane,Kharif,7.36,20,27,26,29.8,63.4,738,3597,7495,Ferrous Sulphate,76,Cow Dung,1349,18.5
Kolhapur,Sugarcane,Summer,6.81,37,23,13,30.9,84.9,578,520,9791,14-35-14,98,Compost,1767,12.8
Ahmednagar,Pomegranate,Rabi,6.53,29,17,19,21.1,49.0,820,3281,9783,Zinc Sulphate,192,Cow Dung,1089,21.4
Nashik,Cotton(lint),Kharif,8.04,15,16,19,29.5,58.1,881,2657,3272,Ferrous Sulphate,157,Vermicompost,1122,5.2
Nashik,Onion,Summer,5.16,17,23,24,22.3,78.6,448,3382,2570,Muriate of Potash,117,FYM,1739,21.1
Kolhapur,Wheat,Kharif,7.99,28,23,29,29.2,82.8,1166,2670,3527,NPK,148,FYM,1464,7.7
Kolhapur,Wheat,Kharif,6.56,39,24,21,23.1,63.3,429,4747,13550,Calcium Nitrate,68,FYM,1464,10.8
Ahmednagar,Wheat,Kharif,6.94,28,6,18,27.4,56.6,484,1432,7898,28-28-0,74,Cow Dung,1152,24.4
Sangli,Sugarcane,Kharif,6.58,33,25,12,32.1,56.9,1188,4425,7836,Ammonium Sulphate,153,Cow Dung,1903,6.0
Solapur,Pomegranate,Rabi,8.23,33,7,24,29.7,47.8,901,1235,14984,14-35-14,125,Compost,578,12.0
Ahmednagar,Wheat,Summer,6.02,33,14,21,22.3,89.0,945,1960,10807,NPK,125,FYM,914,6.7
Sangli,Pomegranate,Summer,7.01,26,9,35,21.4,63.2,728,965,11843,17-17-17,155,Vermicompost,1976,22.1
Sangli,Sugarcane,Kharif,7.42,33,16,24,29.1,70.6,1009,1667,4306,Zinc Sulphate,82,Compost,1672,19.1
Sangli,Pomegranate,Summer,5.71,33,11,35,31.3,70.7,833,1733,2300,10-26-26,86,Cow Dung,1138,21.0
Ahmednagar,Onion,Kharif,6.26,27,13,10,27.7,82.8,987,2475,3064,20-20-0,141,Vermicompost,1290,15.5
Pune,Cotton(lint),Summer,6.88,21,6,24,24.0,60.0,1086,475,7005,12-32-16,173,Compost,1561,12.2
Pune,Pomegranate,Rabi,6.29,18,29,20,26.2,60.8,648,1837,3413,DAP,92,Cow Dung,1680,5.0
Nashik,Pomegranate,Rabi,6.35,32,14,14,27.7,75.0,533,2634,3027,Zinc Sulphate,175,Vermicompost,832,10.6
Pune,Cotton(lint),Summer,6.72,33,10,16,25.6,43.5,1089,4698,8973,10-26-26,58,Compost,787,15.3
Pune,Sugarcane,Kharif,7.52,25,16,21,22.3,82.9,764,218,13156,14-35-14,63,Vermicompost,1635,18.3
Sangli,Sugarcane,Kharif,6.73,27,10,29,30.3,85.9,1139,564,8570,20-20-0,180,Cow Dung,1614,9.6
Sangli,Pomegranate,Kharif,7.86,25,7,34,33.5,67.9,974,3485,4558,Zinc Sulphate,118,Compost,1572,7.8
Kolhapur,Onion,Kharif,6.2,25,14,15,31.7,53.7,1179,4575,1748,Single Super Phosphate,75,Cow Dung,660,9.0
Sangli,Wheat,Rabi,6.0,13,13,31,17.3,75.2,824,2666,5627,Single Super Phosphate,176,FYM,1925,12.1
Ahmednagar,Onion,Kharif,8.54,32,24,12,30.6,62.7,814,2427,13586,10-26-26,102,FYM,819,8.0
Kolhapur,Cotton(lint),Kharif,6.47,31,9,19,28.3,66.7,1169,740,12988,17-17-17,90,Vermicompost,1423,8.1
Solapur,Cotton(lint),Kharif,5.95,16,7,35,23.4,67.6,1055,3254,9450,Single Super Phosphate,131,FYM,863,5.9
Kolhapur,Grapes,Kharif,5.61,10,9,30,18.2,57.1,911,2554,8284,NPK,151,Cow Dung,1965,22.1
Pune,Wheat,Rabi,7.86,33,12,35,25.5,69.2,784,402,2441,Potash,70,Vermicompost,974,9.4
Sangli,Pomegranate,Summer,6.73,38,12,31,27.5,47.4,787,1167,1618,28-28-0,170,Compost,1522,21.4
Pune,Cotton(lint),Summer,6.8,32,18,39,21.6,38.7,848,1455,1938,Zinc Sulphate,88,Cow Dung,1265,13.8
Sangli,Grapes,Kharif,6.87,38,28,13,30.9,69.4,963,3989,970,Single Super Phosphate,118,Compost,1101,17.6
Pune,Sugarcane,Kharif,7.81,29,26,22,30.8,77.5,702,4224,5638,10-26-26,124,Compost,811,6.5
Solapur,Cotton(lint),Summer,6.86,10,21,28,27.9,58.8,498,727,11569,Urea,111,Compost,1088,16.7
Pune,Soyabean,Rabi,8.88,17,15,14,20.5,58.2,705,600,9633,Muriate of Potash,94,Compost,1743,10.8
Pune,Wheat,Rabi,7.11,35,20,32,25.0,72.8,956,869,14508,Magnesium Sulphate,76,Cow Dung,842,6.9
Ahmednagar,Grapes,Rabi,7.85,32,10,36,28.9,64.8,441,263,10598,17-17-17,165,FYM,1405,23.2
Solapur,Wheat,Rabi,7.64,17,15,31,28.6,58.2,867,1716,5577,NPK,191,Cow Dung,1617,17.1
Nashik,Wheat,Rabi,6.97,19,14,27,23.2,68.7,839,4814,9463,NPK,90,FYM,1656,9.8
Solapur,Soyabean,Rabi,6.53,10,27,10,23.8,65.1,726,943,12364,Single Super Phosphate,155,Compost,671,13.4
Pune,Onion,Rabi,7.27,30,13,30,23.1,50.0,968,4304,13636,Ammonium Sulphate,123,FYM,1125,12.1
Satara,Sugarcane,Rabi,7.41,34,28,30,24.9,63.7,432,4126,1228,Calcium Nitrate,109,Compost,1532,19.0
Satara,Wheat,Rabi,6.54,30,28,37,24.1,67.2,811,3955,11919,Potash,91,Vermicompost,1181,17.1
Satara,Cotton(lint),Kharif,7.13,38,19,25,23.3,58.6,1025,2836,12291,Magnesium Sulphate,171,Compost,1844,5.4
Ahmednagar,Sugarcane,Rabi,7.99,23,11,25,25.4,76.1,513,2298,6599,12-32-16,60,FYM,1621,9.0
Kolhapur,Cotton(lint),Kharif,8.66,23,22,25,26.2,70.8,907,71,13949,Ferrous Sulphate,196,Vermicompost,1692,14.6
Pune,Sugarcane,Summer,7.68,19,5,37,30.3,61.7,455,3363,12179,Potash,167,Vermicompost,810,13.9
Solapur,Pomegranate,Kharif,8.49,37,19,31,18.9,66.6,955,1311,1384,10-26-26,114,Compost,1413,15.3
Satara,Sugarcane,Summer,6.5,28,6,28,30.9,60.5,1123,1222,8862,DAP,96,Cow Dung,1866,19.3
Ahmednagar,Grapes,Kharif,7.56,34,26,25,23.0,62.3,751,4930,2964,NPK,63,FYM,929,18.6
Kolhapur,Cotton(lint),Summer,8.07,38,6,10,33.4,62.7,728,2104,6145,Muriate of Potash,116,Vermicompost,1357,12.5
Satara,Cotton(lint),Kharif,6.28,25,14,29,28.7,43.8,945,1942,12276,Urea,158,Cow Dung,784,22.6
Sangli,Pomegranate,Kharif,6.61,18,24,29,28.2,65.3,669,2865,11433,Muriate of Potash,59,Compost,1783,6.3
Nashik,Sugarcane,Summer,8.39,29,19,19,25.6,68.8,595,4724,2077,Zinc Sulphate,173,Compost,994,16.7
Pune,Wheat,Rabi,6.22,25,14,11,34.3,94.5,812,4634,14368,Calcium Nitrate,66,Compost,854,24.0
Nashik,Cotton(lint),Rabi,5.93,29,23,23,25.9,70.3,1036,1837,8738,Urea,192,Compost,713,16.0
Nashik,Pomegranate,Rabi,8.22,36,26,17,32.0,57.2,478,2040,13170,17-17-17,146,FYM,1316,14.1
Sangli,Soyabean,Rabi,7.96,17,17,15,23.7,45.3,1166,4367,9572,Zinc Sulphate,106,Vermicompost,699,7.7
Sangli,Soyabean,Rabi,7.35,16,28,37,28.9,52.3,1056,2510,5139,Muriate of Potash,187,FYM,1759,21.2
Sangli,Sugarcane,Kharif,6.96,20,15,12,33.6,59.0,482,2681,7139,Single Super Phosphate,120,Vermicompost,1352,12.5
Kolhapur,Onion,Rabi,6.65,30,26,25,22.6,59.2,1141,2318,8928,Ferrous Sulphate,146,Cow Dung,635,19.0
Satara,Sugarcane,Kharif,7.23,15,6,26,28.0,62.2,536,2226,3073,28-28-0,66,Cow Dung,1447,9.0
Solapur,Pomegranate,Summer,8.26,24,25,21,23.2,60.2,938,926,4726,NPK,125,Vermicompost,1127,5.8
Pune,Sugarcane,Rabi,7.19,28,17,36,27.7,62.2,1088,3542,218,14-35-14,66,Compost,1416,11.1
Sangli,Wheat,Rabi,8.73,23,26,28,33.6,59.9,1118,4308,8099,Potash,160,Cow Dung,1945,10.6
Ahmednagar,Wheat,Rabi,6.28,24,29,33,22.3,65.2,705,1004,12453,Ferrous Sulphate,169,FYM,1864,22.5
Pune,Grapes,Rabi,6.98,15,26,29,26.6,54.2,710,4169,2392,Magnesium Sulphate,193,Vermicompost,841,22.3
Solapur,Pomegranate,Kharif,6.7,38,25,12,22.7,49.9,787,4338,2204,10-26-26,168,Cow Dung,887,15.7
Pune,Onion,Kharif,6.13,33,5,22,25.5,62.1,1124,927,1167,10-26-26,127,Vermicompost,503,5.4
Pune,Pomegranate,Kharif,6.88,19,9,25,28.5,70.2,948,4535,14959,NPK,52,Compost,1176,9.6
Sangli,Pomegranate,Summer,7.33,23,25,20,24.8,51.6,905,2594,14301,Calcium Nitrate,157,Vermicompost,898,17.8
Sangli,Onion,Kharif,7.42,25,26,29,32.3,58.1,787,2226,523,Muriate of Potash,100,Cow Dung,1945,7.0
Satara,Pomegranate,Rabi,8.74,22,11,36,27.9,63.2,692,2650,3919,NPK,163,Vermicompost,910,19.0
Solapur,Onion,Summer,7.37,20,17,25,20.7,63.0,578,3157,7803,NPK,143,Cow Dung,712,5.2
Sangli,Onion,Summer,7.92,34,17,29,27.3,74.0,1071,3578,12782,Single Super Phosphate,165,Cow Dung,1059,18.7
Sangli,Onion,Rabi,7.05,12,24,11,31.8,76.3,828,2458,14885,Ferrous Sulphate,154,Cow Dung,1057,21.9
Pune,Pomegranate,Rabi,8.34,17,27,13,28.2,67.7,923,4910,1380,12-32-16,148,FYM,1057,14.4
Satara,Pomegranate,Rabi,8.92,37,25,36,27.0,79.5,1080,2023,14428,20-20-0,125,Compost,1571,21.6
Nashik,Sugarcane,Rabi,7.42,12,10,37,24.8,60.6,711,3998,13341,20-20-0,130,Compost,1710,20.6
Sangli,Pomegranate,Kharif,6.21,11,24,34,25.6,75.1,479,1288,10111,14-35-14,121,Vermicompost,1001,18.4
Ahmednagar,Sugarcane,Summer,6.56,30,16,13,26.0,57.6,413,2384,14247,14-35-14,196,Vermicompost,1143,13.9
Sangli,Grapes,Rabi,7.23,23,12,37,16.2,68.6,453,817,3532,DAP,192,Cow Dung,1030,10.4
Nashik,Soyabean,Kharif,7.37,29,13,26,27.9,72.7,846,2466,862,17-17-17,160,Compost,1452,22.2
Pune,Soyabean,Rabi,7.56,38,22,10,30.0,65.7,1165,3595,1729,Single Super Phosphate,107,Vermicompost,1286,18.0
Solapur,Grapes,Kharif,7.37,30,15,10,23.0,53.4,464,2359,5599,20-20-0,127,Vermicompost,974,21.0
Satara,Grapes,Rabi,7.01,31,24,39,26.9,44.9,771,4933,8734,Magnesium Sulphate,97,Compost,541,16.0
Pune,Cotton(lint),Rabi,6.49,24,15,14,27.4,71.7,902,4256,3114,17-17-17,105,Cow Dung,1103,8.4
Solapur,Sugarcane,Rabi,7.32,12,28,31,29.2,61.7,969,4286,10873,20-20-0,91,Vermicompost,1784,24.6
Kolhapur,Onion,Kharif,8.48,10,28,21,26.0,62.6,495,794,1597,28-28-0,73,Cow Dung,547,8.7
Sangli,Cotton(lint),Rabi,7.82,24,19,15,28.2,83.0,932,2632,12544,Zinc Sulphate,159,Compost,1227,23.2
Solapur,Wheat,Kharif,7.43,29,13,15,21.4,53.6,659,4224,8380,14-35-14,101,Compost,1969,9.2
Ahmednagar,Sugarcane,Kharif,7.82,31,7,34,21.9,73.9,984,1567,10541,Calcium Nitrate,83,Vermicompost,720,12.5
Solapur,Pomegranate,Summer,6.7,11,21,26,27.7,56.1,647,2606,9271,17-17-17,52,Vermicompost,1439,13.8
Kolhapur,Grapes,Kharif,6.59,27,29,35,25.1,62.9,526,4211,8753,20-20-0,117,Compost,842,23.4
Sangli,Soyabean,Kharif,6.4,10,21,31,19.7,52.0,898,4033,3652,28-28-0,188,Cow Dung,1761,22.8
Kolhapur,Sugarcane,Kharif,6.9,18,7,22,27.4,56.1,445,1444,11048,Muriate of Potash,190,Cow Dung,654,21.5
Nashik,Grapes,Kharif,6.66,12,23,17,20.9,70.0,667,336,11920,12-32-16,99,FYM,1437,12.5
Sangli,Sugarcane,Kharif,7.97,11,13,33,36.8,80.5,1039,3297,10793,Potash,131,Compost,1340,5.1
Ahmednagar,Pomegranate,Summer,6.62,13,21,21,17.3,70.1,941,4268,7737,17-17-17,68,Vermicompost,1579,18.6
Sangli,Sugarcane,Rabi,6.36,25,27,24,26.2,68.7,493,2652,8671,17-17-17,93,Compost,886,13.2
Kolhapur,Pomegranate,Summer,8.55,31,22,28,21.5,95.6,1135,53,4596,14-35-14,52,Vermicompost,1393,20.1
Satara,Sugarcane,Summer,6.64,10,27,38,29.7,71.7,715,461,13490,DAP,162,Cow Dung,1838,20.9
Kolhapur,Wheat,Rabi,7.12,18,19,30,24.4,53.8,1011,4395,4746,14-35-14,114,Vermicompost,537,13.8
Sangli,Soyabean,Kharif,7.36,34,5,35,30.1,44.8,470,3777,3083,Ferrous Sulphate,88,FYM,1864,20.0
Sangli,Sugarcane,Rabi,6.09,17,14,29,29.1,69.5,992,1967,3160,10-26-26,113,Cow Dung,1350,21.8
Solapur,Grapes,Kharif,7.99,15,12,37,21.7,48.1,848,1406,13797,14-35-14,153,FYM,1228,23.6
Satara,Wheat,Rabi,7.51,29,14,26,23.1,53.0,766,207,7934,Ferrous Sulphate,62,Compost,730,16.6
Pune,Cotton(lint),Summer,8.25,27,6,18,24.6,68.6,1019,1650,6904,Potash,117,Vermicompost,951,20.6
Satara,Sugarcane,Kharif,6.46,25,23,30,25.7,77.5,1013,2934,7610,Magnesium Sulphate,119,Cow Dung,1865,14.9
Pune,Pomegranate,Summer,7.08,17,18,27,25.2,61.6,809,3539,3050,Muriate of Potash,124,Vermicompost,1976,5.8
Ahmednagar,Wheat,Kharif,7.03,32,12,37,28.9,50.5,490,2432,4640,DAP,50,FYM,756,8.1
Sangli,Onion,Rabi,7.21,37,23,11,26.9,63.2,908,202,14487,Single Super Phosphate,147,Cow Dung,933,7.6
Solapur,Cotton(lint),Rabi,5.84,39,5,20,23.5,61.7,927,1679,7518,10-26-26,153,FYM,708,8.4
Nashik,Soyabean,Rabi,7.09,13,20,32,22.4,66.4,509,2846,6163,Urea,165,Cow Dung,1724,5.2
Nashik,Sugarcane,Rabi,5.86,12,29,29,22.7,50.6,1174,2931,14305,Zinc Sulphate,186,Compost,636,22.2
Kolhapur,Sugarcane,Rabi,7.29,24,28,26,27.3,55.0,1071,3852,12022,Ammonium Sulphate,162,Compost,1064,16.2
Satara,Wheat,Summer,5.3,15,19,30,25.2,77.3,1164,2855,12716,14-35-14,152,Vermicompost,1355,12.7
Satara,Soyabean,Summer,5.52,10,24,27,34.3,74.1,488,4130,10223,Potash,86,FYM,1917,13.2
Nashik,Onion,Kharif,7.65,27,28,24,26.0,79.0,1006,3520,7761,Ferrous Sulphate,155,FYM,1220,14.3
Pune,Cotton(lint),Summer,6.56,32,9,16,26.8,42.8,671,1105,3521,20-20-0,157,Cow Dung,1344,6.5
Satara,Grapes,Kharif,6.21,20,7,25,18.8,54.4,646,2629,2090,Muriate of Potash,70,Compost,535,10.5
Pune,Soyabean,Kharif,8.02,12,21,34,20.6,76.9,760,4198,13157,Ferrous Sulphate,197,Vermicompost,1738,22.0
Pune,Sugarcane,Summer,7.26,39,14,38,21.5,72.1,777,2815,3956,14-35-14,178,Compost,526,19.9
Pune,Wheat,Summer,7.7,22,9,10,23.9,69.9,605,1378,1582,Ferrous Sulphate,77,FYM,517,16.3
Pune,Onion,Kharif,6.87,26,15,37,20.1,60.7,744,4094,2645,Urea,157,Vermicompost,1129,14.6
Solapur,Wheat,Summer,9.14,27,10,27,21.4,57.6,1197,2442,4320,Ammonium Sulphate,58,Compost,1660,10.2
Kolhapur,Cotton(lint),Summer,6.52,35,8,36,28.7,65.4,1159,3203,12591,12-32-16,81,Compost,1078,14.4
Kolhapur,Pomegranate,Summer,8.4,35,11,31,22.6,59.6,854,50,11107,Single Super Phosphate,115,Cow Dung,1402,17.0
Solapur,Pomegranate,Rabi,6.95,23,23,17,25.8,71.3,466,216,742,17-17-17,149,Cow Dung,1474,19.3
Nashik,Soyabean,Rabi,5.68,34,11,16,28.4,65.4,957,3304,13432,Urea,70,FYM,1553,8.3
Kolhapur,Wheat,Kharif,7.39,16,18,34,29.8,53.3,442,1935,12977,12-32-16,131,Compost,1596,21.3
Ahmednagar,Grapes,Summer,7.25,16,21,39,27.2,72.6,628,4418,4018,17-17-17,73,Cow Dung,622,11.9
Solapur,Grapes,Kharif,6.16,23,27,11,27.4,80.1,843,949,1686,Calcium Nitrate,160,Compost,1456,15.1
Satara,Pomegranate,Summer,6.26,35,21,21,29.9,80.9,633,2298,2509,Ferrous Sulphate,141,Vermicompost,1500,17.2
Ahmednagar,Pomegranate,Rabi,6.98,33,17,25,27.7,73.1,598,3313,6604,28-28-0,61,Compost,1486,14.8
Solapur,Wheat,Summer,7.28,24,5,18,30.1,73.2,896,3462,12141,Muriate of Potash,188,Compost,1751,16.4
Kolhapur,Sugarcane,Summer,5.02,21,6,29,17.4,51.1,431,3627,13527,Calcium Nitrate,72,FYM,837,7.2
Satara,Wheat,Summer,7.84,21,22,20,25.7,56.9,663,2237,154,Muriate of Potash,141,Vermicompost,1490,13.6
Satara,Onion,Rabi,6.6,17,8,24,26.2,63.0,512,1269,14727,DAP,172,Vermicompost,772,10.6
Pune,Soyabean,Rabi,5.93,25,17,12,25.5,72.1,858,3182,13462,28-28-0,83,Cow Dung,1960,6.7
Nashik,Cotton(lint),Rabi,7.75,18,5,32,26.5,57.8,675,409,941,DAP,174,Vermicompost,1401,8.8
Pune,Grapes,Kharif,6.98,11,8,30,24.4,61.3,545,2089,7028,Single Super Phosphate,106,FYM,538,17.0
Solapur,Wheat,Summer,7.97,23,6,22,29.2,71.7,756,3987,14689,Ammonium Sulphate,52,Cow Dung,1181,8.9
Pune,Onion,Rabi,7.35,33,8,30,23.9,66.6,405,3204,4687,17-17-17,55,Compost,925,8.6
Ahmednagar,Pomegranate,Kharif,7.0,33,20,37,25.1,69.0,739,383,9276,Potash,97,Vermicompost,814,16.1
Kolhapur,Grapes,Rabi,6.88,38,8,22,31.8,55.7,893,780,10912,Urea,151,Compost,1113,23.1
Ahmednagar,Grapes,Summer,7.39,25,29,11,31.2,61.2,507,1547,3006,14-35-14,169,Cow Dung,1254,20.8
Kolhapur,Cotton(lint),Kharif,6.67,14,13,15,26.6,59.4,1171,1467,5188,Calcium Nitrate,62,Vermicompost,656,23.1
Ahmednagar,Grapes,Rabi,6.32,14,21,15,23.5,65.0,470,3813,10286,Ferrous Sulphate,85,Cow Dung,1371,16.7
Satara,Onion,Rabi,7.49,29,25,21,19.5,59.8,739,1793,10224,Zinc Sulphate,119,Cow Dung,1276,13.2
Kolhapur,Grapes,Kharif,6.88,39,27,13,25.5,58.2,1073,4166,5156,Ferrous Sulphate,82,Vermicompost,756,19.6
Kolhapur,Grapes,Kharif,7.03,30,24,14,28.0,66.5,499,2023,6082,Magnesium Sulphate,154,Vermicompost,1354,10.2
Ahmednagar,Wheat,Kharif,7.87,27,25,32,23.1,90.2,726,928,2372,28-28-0,106,Cow Dung,1134,6.6
Sangli,Wheat,Kharif,6.91,27,6,39,26.0,72.0,432,4322,6241,12-32-16,104,FYM,955,11.9
Satara,Pomegranate,Kharif,7.01,14,7,17,24.6,43.6,542,2934,8115,20-20-0,156,Vermicompost,546,11.0
Solapur,Soyabean,Rabi,6.52,20,27,15,19.1,69.2,643,3057,8394,Magnesium Sulphate,190,Cow Dung,1855,18.5
Satara,Sugarcane,Kharif,7.34,22,19,30,26.5,58.8,1135,2645,9261,14-35-14,100,Compost,509,16.0
Solapur,Onion,Kharif,7.28,12,11,37,27.7,53.7,1125,2347,1171,12-32-16,141,Compost,643,7.8
Sangli,Sugarcane,Summer,7.72,26,8,12,26.6,73.4,1031,710,836,17-17-17,102,Vermicompost,1954,23.2
Ahmednagar,Sugarcane,Rabi,6.54,34,16,32,32.4,65.9,1079,3194,9657,17-17-17,85,Vermicompost,1675,16.9
Ahmednagar,Grapes,Summer,6.63,27,5,17,24.7,94.8,616,3212,6476,Single Super Phosphate,182,Compost,986,14.2
Satara,Pomegranate,Rabi,7.63,23,21,28,24.4,63.6,833,4271,7849,Urea,168,Cow Dung,1659,23.7
Ahmednagar,Cotton(lint),Rabi,7.2,21,8,30,34.7,62.3,1128,4035,3730,10-26-26,74,Cow Dung,1549,6.9
Nashik,Cotton(lint),Rabi,6.28,23,8,20,21.0,79.4,453,1319,327,Potash,130,Cow Dung,1530,20.8
Nashik,Grapes,Kharif,8.05,35,26,27,23.5,65.3,1119,4756,6765,Ammonium Sulphate,86,FYM,1090,12.3
Solapur,Pomegranate,Summer,5.64,27,27,19,27.4,52.3,991,1344,14108,14-35-14,68,Vermicompost,1538,18.9
